Pattern String,classification
FREE SHIPPING ON ORDERS OVER $100!,Not Dark
SOME EXCLUSIONS APPLY - LEARN MORE,Not Dark
HAVE A QUESTION? - CONTACT US,Not Dark
WELCOME TO 034MOTORSPORT!,Not Dark
SHOP AUDISHOP VOLKSWAGENPERFORMANCE SOFTWARE034 APPARELLOCAL SERVICENEWSRESOURCES,Not Dark
SEARCH,Not Dark
HOME,Not Dark
/,Not Dark
"ADJUSTABLE SOLID REAR SWAY BAR, 8J/8P AUDI TT/TTS/TTRS & A3/S3/RS3, MKV/MKVI VOLKSWAGEN R32 & GOLF R",Not Dark
MORE VIEWS,Not Dark
"ADJUSTABLE SOLID REAR SWAY BAR, 8J/8P AUDI TT/TTS/TTRS & A3/S3/RS3, MKV/MKVI VOLKSWAGEN R32 & GOLF R",Not Dark
$268.00,Not Dark
ORDER ONLINE!,Not Dark
4.6 star rating,Not Dark
8 Reviews,Not Dark
1 Questions \ 1 Answers,Not Dark
SKU: 034-402-1002,Not Dark
Manufacturer: 034Motorsport,Not Dark
"034Motorsport is proud to offer the ultimate rear sway bar upgrade for the Audi 8J/8P TT/TTS/TTRS & Audi A3/S3/RS3 and MkV/MkVI Volkswagen R32 & Golf R! The 034Motorsport Adjustable Solid Rear Sway Bar is made from high-quality spring steel for maximum rigidity, and is designed to combat understeer while reducing body roll under hard cornering. This product was tested thoroughly on the street and track on the 034Motorsport Audi TT RS 2.5 TFSI before release. The 034Motorsport Adjustable Solid Rear Sway Bar substantially reduces understeer and body roll without compromising comfort on the street.",Not Dark
Qty:,Not Dark
ADD TO CART,Not Dark
Add to Wishlist,Not Dark
RELATED PRODUCTS,Not Dark
"SWAY BAR END LINKS, MOTORSPORT, REAR, ADJUSTABLE, 8P & 8J AUDI TT/A3, MKV & MKVI VOLKSWAGEN JETTA GTI R32 RABBIT",Not Dark
$184.00,Not Dark
"REBUILD KIT, ADJUSTABLE SOLID REAR SWAY BAR, 22.2MM",Not Dark
$22.00,Not Dark
ITEM DETAILS,Not Dark
INSTALL GUIDE,Not Dark
MORE INFO,Not Dark
WE ALSO RECOMMEND,Not Dark
REVIEWS,Not Dark
PROP 65,Not Dark
"034Motorsport is proud to offer the ultimate rear sway bar upgrade for the Audi 8J/8P TT/TTS/TTRS & Audi A3/S3/RS3 and MkV/MkVI Volkswagen R32 & Golf R! The 034Motorsport Adjustable Solid Rear Sway Bar is made from high-quality spring steel for maximum rigidity, and is designed to combat understeer while reducing body roll under hard cornering.",Not Dark
This product was tested thoroughly on the street and track on both the 034Motorsport Audi TT RS 2.5 TFSIÂ and Nate@034's Audi A3Â before release. The 034Motorsport Adjustable Solid Rear Sway Bar substantially reduces understeer and body roll on the Audi 8J/8P and MkV/MkVI Volkswagen R32 & Golf R without compromising comfort on the street.,Not Dark
"In addition, the 034Motorsport Rear Sway Bar is engineered to be used effectively with the stock front sway bar. No upgrade in the front is needed or required. The addition of a stiffer front bar introduces even more push, requiring an even bigger bar in the back.Â  With the stock front sway bar and upgraded 034Motorsport Solid Rear Sway Bar, body roll is virtually eliminated while turn in and off throttle oversteer are greatly improved.",Not Dark
"The sway bar rate is adjustable via the adjustment holes. The two holes closest to the MOI of the bar are the ""stiff"" (423% stiffer than stock) setting, and the two holes farther out are the ""soft"" (362% stiffer than stock) setting.",Not Dark
Features:,Not Dark
Adjustable - 362% or 423% Increased Sway Bar Rate vs. Stock TT RS Rear Sway Bar,Not Dark
22.25mm Diameter,Not Dark
Solid Spring Steel Construction,Not Dark
2-Hole Adjustable,Not Dark
Easy to Lubricate Sway Bar Bushings - Zerk Fittings Included,Not Dark
Designed to be used in conjunction with the stock front sway bar.,Not Dark
What's Included:,Not Dark
034Motorsport Adjustable Solid Rear Sway Bar,Not Dark
Graphite-Impregnated Urethane Bushings,Not Dark
Billet Aluminum Sway Bar Brackets with Lubrication Ports,Not Dark
Sway Bar Retaining Clips,Not Dark
Fitment:,Not Dark
2010 - 2013 Audi TT RS 2.5 TFSI (8J),Not Dark
2011 - 2013 Audi RS3 2.5 TFSI (8P),Not Dark
2006 - 2013 Audi TT/TTS Quattro (8J),Not Dark
Except 3.2L VR6 Models,Not Dark
2006 - 2013 Audi A3/S3 Quattro (8P),Not Dark
2008 Volkswagen R32 (MkV),Not Dark
2012 Volkswagen Golf R (MkVI),Not Dark
Installation Instructions:,Not Dark
Please Note:,Not Dark
This fits 4-Motion AWD & Quattro AWD vehiclesÂ only.,Not Dark
COMPANY,Not Dark
ABOUT US,Not Dark
CONTACT US,Not Dark
SERVICE DEPARTMENT,Not Dark
TERMS & CONDITIONS,Not Dark
PRIVACY POLICY,Not Dark
CAREERS AT 034,Not Dark
QUICK LINKS,Not Dark
SITE MAP,Not Dark
SEARCH TERMS,Not Dark
ADVANCED SEARCH,Not Dark
REQUEST RMA,Not Dark
DEALERS,Not Dark
ACCOUNT,Not Dark
MY ACCOUNT,Not Dark
ORDERS AND RETURNS,Not Dark
RSS,Not Dark
Â© 2005 - Present 034Motorsport. All Rights Reserved. 034Motorsport is not affiliated with any automobile manufacturers. Manufacturer names and/or part numbers are used solely for identification purposes.,Not Dark
PRODUCT CATEGORIES,Not Dark
Christmas,Not Dark
Tubes,Not Dark
LED Bulbs,Not Dark
Fixtures,Not Dark
Light Bulbs,Not Dark
Ballasts/Drivers,Not Dark
Electrical,Not Dark
Rope/Tape Light,Not Dark
Exit/Emergency,Not Dark
Smart Home,Not Dark
Horticulture,Not Dark
Landscape Lighting,Not Dark
Batteries,Not Dark
Plastics & Glass,Not Dark
Specialty Items,Not Dark
For Expert Help Call 1-800-624-4488,Not Dark
Search,Not Dark
Welcome to 1000Bulbs.com,Not Dark
Cart 0,Not Dark
LED Parking Lot Lights - Starting at $107.24,Not Dark
LED Corn Bulbs | HID,Not Dark
All Categories,Not Dark
Christmas,Not Dark
Tubes,Not Dark
LED Bulbs,Not Dark
Fixtures,Not Dark
Light Bulbs,Not Dark
Ballasts/Drivers,Not Dark
Electrical,Not Dark
Rope/Tape Light,Not Dark
Exit/Emergency,Not Dark
Home,Not Dark
LED Light Bulbs,Not Dark
LED Light Bulbs - A19,Not Dark
